feature,importance
slot_avg,532
slot_avg_leakfree,266
vs_slot_avg_leakfree,259
demand_vs_24h_avg,251
slot_deviation,210
shared_pct,203
lag_1h,173
unique_h3_cells,140
lag_24h,131
demand_vs_3h_avg,121
weather_misery,116
slot_zscore,113
roll_24h_mean,113
vs_slot_avg,110
roll_168h_std,109
avg_fare,104
slot_std,89
humidity,89
avg_distance,62
roll_168h_mean,55
avg_duration_sec,53
avg_tip,51
roll_3h_std,50
demand_change_24h,38
roll_6h_std,36
demand_pct_change_1h,36
roll_6h_min,36
dom_sin,30
roll_24h_std,27
dom_cos,27
roll_6h_max,26
short_vs_long_trend,25
slot_avg_daytype,21
wind_speed_kmh,19
lag_2h,10
holiday_proximity,9
lag_3h,9
weather_code,8
demand_change_1h,8
cta_total_rides,7
lag_48h,6
day_of_week,5
hour_sin,3
roll_24h_min,3
roll_168h_max,3
cta_stations_low,2
hour_cos,1
hour,1
is_snowing,0
roll_168h_min,0
dow_cos,0
precipitation_mm,0
cta_avg_ratio,0
unique_areas,0
dow_sin,0
snowfall_cm,0
is_raining,0
week_of_year,0
