feature,importance
slot_avg,737
vs_slot_avg_leakfree,487
slot_avg_leakfree,387
slot_deviation,334
shared_pct,316
demand_vs_24h_avg,297
slot_zscore,239
slot_std,229
unique_h3_cells,217
lag_1h,206
demand_vs_3h_avg,202
lag_24h,188
vs_slot_avg,171
wind_speed_kmh,109
slot_avg_daytype,102
roll_24h_mean,97
roll_168h_std,93
roll_6h_max,93
weather_misery,88
roll_6h_min,87
avg_distance,78
demand_change_24h,71
roll_6h_std,70
roll_24h_std,67
lag_2h,65
humidity,60
avg_fare,55
short_vs_long_trend,53
roll_168h_mean,52
avg_tip,50
demand_change_1h,46
cta_total_rides,43
demand_pct_change_1h,38
avg_duration_sec,34
hour,34
cta_avg_ratio,28
hour_sin,28
roll_3h_std,27
dom_sin,23
hour_cos,23
dom_cos,21
roll_168h_max,20
roll_24h_min,19
lag_3h,16
holiday_proximity,16
lag_48h,15
dow_sin,14
day_of_week,12
cta_stations_low,4
roll_168h_min,3
dow_cos,2
unique_areas,1
week_of_year,1
weather_code,1
is_snowing,0
precipitation_mm,0
snowfall_cm,0
is_raining,0
