feature,importance
slot_avg,0.5792483
slot_avg_daytype,0.14489605
lag_24h,0.0906575
roll_24h_std,0.013936458
demand_change_1h,0.010458698
demand_vs_3h_avg,0.00968836
avg_distance,0.008297783
dow_cos,0.007875224
demand_change_24h,0.007675051
slot_deviation,0.0070798504
demand_vs_24h_avg,0.0069498243
vs_slot_avg,0.0066109216
hour_cos,0.00646707
hour_sin,0.005801579
avg_duration_sec,0.005235877
demand_percentile,0.005067603
cell_total_trips_norm,0.0050000334
slot_std,0.0048796968
lag_3h,0.004391616
cell_avg_fare,0.003991973
hour,0.0037454953
dow_sin,0.003213665
demand_vs_neighbors,0.0029918766
slot_zscore,0.002944536
cta_total_rides,0.0029143642
holiday_proximity,0.0027499096
neighbor_avg_demand,0.0026818041
lag_48h,0.0023599619
avg_fare,0.0023443743
cell_latitude,0.0023072222
day_of_week,0.0022445093
humidity,0.002158907
cell_avg_distance,0.0020336143
vs_slot_avg_leakfree,0.0019875758
cell_longitude,0.001969718
roll_6h_std,0.0019423782
cell_avg_duration_min,0.001850789
weather_misery,0.0017730487
temperature_f,0.0017364043
cta_avg_ratio,0.001713437
cell_tip_rate,0.0016536324
dom_cos,0.0014890706
dom_sin,0.0014447025
precipitation_mm,0.0014061107
cta_lines_at_cell,0.0013676211
is_raining,0.0013212039
snowfall_cm,0.0012874899
roll_3h_std,0.0012729528
is_snowing,0.0012456832
wind_speed_kmh,0.0011211376
shared_pct,0.0010797526
weather_code,0.0010553057
has_cta_station,0.0009355833
cta_stations_low,0.0007615425
week_of_year,0.00068514486
