feature,importance
slot_avg,0.19824043
lag_24h,0.19389859
slot_avg_daytype,0.13455904
demand_percentile,0.106462695
cell_total_trips_norm,0.06981087
slot_std,0.05189844
lag_48h,0.04246212
roll_24h_std,0.02648659
demand_vs_24h_avg,0.014700994
demand_change_1h,0.014537761
demand_change_24h,0.012107769
lag_3h,0.010937068
demand_vs_3h_avg,0.009044285
slot_deviation,0.008928335
neighbor_avg_demand,0.008215913
dow_cos,0.007795914
hour_sin,0.005383378
demand_vs_neighbors,0.005120077
vs_slot_avg,0.0050359564
avg_duration_sec,0.0042487904
avg_distance,0.004138858
hour_cos,0.004090925
hour,0.0037868705
cell_avg_fare,0.0034959272
day_of_week,0.0034349666
cell_tip_rate,0.0032071543
cta_total_rides,0.0029182902
dow_sin,0.0025739102
cell_latitude,0.0023772132
week_of_year,0.0023760595
avg_fare,0.0022544125
roll_6h_std,0.0022482984
roll_3h_std,0.002175048
cell_avg_duration_min,0.0019808807
vs_slot_avg_leakfree,0.0019063666
holiday_proximity,0.0018582233
dom_cos,0.0018547768
cta_lines_at_cell,0.0018332782
slot_zscore,0.0017974798
cta_avg_ratio,0.0016858339
cell_longitude,0.0016737606
weather_misery,0.0016639642
shared_pct,0.0016182205
cell_avg_distance,0.0015395157
humidity,0.0014516506
cta_stations_low,0.0013714388
temperature_f,0.0013099675
snowfall_cm,0.0012393026
dom_sin,0.0012106485
precipitation_mm,0.0009651883
is_raining,0.00094740203
wind_speed_kmh,0.0009460006
weather_code,0.00092630356
is_snowing,0.00072176434
has_cta_station,0.00054501265
